"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Oct 02 14:53:31 MSK 2024","Wed Oct 02 14:53:37 MSK 2024","5781","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyYearErrorForCreditPurchase","Should show empty year error for credit purchase",""
"failed","Wed Oct 02 14:53:25 MSK 2024","Wed Oct 02 14:53:31 MSK 2024","5311","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidHolderNumbersErrorForDebitCardPurchase","Should show error for invalid holder name containing numbers for debit card purchase",""
"passed","Wed Oct 02 14:52:25 MSK 2024","Wed Oct 02 14:52:46 MSK 2024","21176","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowSuccessfulCreditPurchase","Should show successful credit purchase",""
"passed","Wed Oct 02 14:50:58 MSK 2024","Wed Oct 02 14:51:07 MSK 2024","9431","","ru.netology.qa.qadiploma.tests.MySqlDbTest","","ru.netology.qa.qadiploma.tests.MySqlDbTest","testPaymentEntityData","testPaymentEntityData()",""
"failed","Wed Oct 02 14:53:38 MSK 2024","Wed Oct 02 14:53:43 MSK 2024","5278","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyNumberErrorForCreditPurchase","Should show empty number error for credit purchase",""
"passed","Wed Oct 02 14:52:24 MSK 2024","Wed Oct 02 14:52:25 MSK 2024","1197","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidYearErrorForDebitCardPurchase","Should show invalid year error for debit card purchase",""
"passed","Wed Oct 02 14:53:37 MSK 2024","Wed Oct 02 14:53:38 MSK 2024","1297","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowExpiredYearErrorForCreditPurchase","Should show expired year error for credit purchase",""
"passed","Wed Oct 02 14:52:23 MSK 2024","Wed Oct 02 14:52:24 MSK 2024","1219","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyHolderErrorForDebitCardPurchase","Should show empty holder name error for debit card purchase",""
"passed","Wed Oct 02 14:51:58 MSK 2024","Wed Oct 02 14:51:59 MSK 2024","1199","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidMonthErrorForCreditPurchase","Should show invalid month error for credit purchase",""
"passed","Wed Oct 02 14:53:23 MSK 2024","Wed Oct 02 14:53:24 MSK 2024","1321","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidYearErrorForCreditPurchase","Should show invalid year error for credit purchase",""
"passed","Wed Oct 02 14:51:55 MSK 2024","Wed Oct 02 14:51:57 MSK 2024","1283","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidCvvErrorForDebitCardPurchase","Should show invalid CVC/CVV error for debit card purchase",""
"passed","Wed Oct 02 14:54:04 MSK 2024","Wed Oct 02 14:54:06 MSK 2024","1341","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyHolderErrorForCreditPurchase","Should show empty holder name error for credit purchase",""
"failed","Wed Oct 02 14:52:06 MSK 2024","Wed Oct 02 14:52:12 MSK 2024","5390","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyMonthErrorForCreditPurchase","Should show empty month error for credit purchase",""
"passed","Wed Oct 02 14:51:08 MSK 2024","Wed Oct 02 14:51:08 MSK 2024","45","","ru.netology.qa.qadiploma.tests.MySqlDbTest","","ru.netology.qa.qadiploma.tests.MySqlDbTest","testOrderEntityData","testOrderEntityData()",""
"failed","Wed Oct 02 14:53:17 MSK 2024","Wed Oct 02 14:53:23 MSK 2024","5492","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowExpiredMonthErrorForDebitCardPurchase","Should show expired month error for debit card purchase",""
"failed","Wed Oct 02 14:51:15 MSK 2024","Wed Oct 02 14:51:20 MSK 2024","5542","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowExpiredMonthErrorForCreditPurchase","Should show expired month error for credit purchase",""
"passed","Wed Oct 02 14:51:08 MSK 2024","Wed Oct 02 14:51:09 MSK 2024","1476","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidNumberErrorForDebitCardPurchase","Should show invalid number error for debit card purchase",""
"passed","Wed Oct 02 14:51:08 MSK 2024","Wed Oct 02 14:51:08 MSK 2024","30","","ru.netology.qa.qadiploma.tests.MySqlDbTest","","ru.netology.qa.qadiploma.tests.MySqlDbTest","testCreditRequestEntityData","testCreditRequestEntityData()",""
"failed","Wed Oct 02 14:52:12 MSK 2024","Wed Oct 02 14:52:17 MSK 2024","5445","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidHolderNumbersErrorForCreditPurchase","Should show error for invalid holder name containing numbers for credit purchase",""
"passed","Wed Oct 02 14:52:04 MSK 2024","Wed Oct 02 14:52:06 MSK 2024","1938","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidNumberErrorForCreditPurchase","Should show invalid number error for credit purchase",""
"passed","Wed Oct 02 14:51:57 MSK 2024","Wed Oct 02 14:51:58 MSK 2024","1237","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyCvvErrorForCreditPurchase","Should show empty CVC/CVV error for credit purchase",""
"failed","Wed Oct 02 14:51:47 MSK 2024","Wed Oct 02 14:51:53 MSK 2024","5396","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyMonthErrorForDebitCardPurchase","Should show empty month error for debit card purchase",""
"failed","Wed Oct 02 14:51:09 MSK 2024","Wed Oct 02 14:51:15 MSK 2024","5665","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyYearErrorForDebitCardPurchase","Should show empty year error for debit card purchase",""
"failed","Wed Oct 02 14:51:22 MSK 2024","Wed Oct 02 14:51:47 MSK 2024","25600","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowUnsuccessfulCreditPurchase","Should show unsuccessful credit purchase",""
"failed","Wed Oct 02 14:53:12 MSK 2024","Wed Oct 02 14:53:17 MSK 2024","5825","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidHolderCyrillicErrorForCreditPurchase","Should show error for invalid holder name containing cyrillic symbols for credit purchase",""
"passed","Wed Oct 02 14:51:53 MSK 2024","Wed Oct 02 14:51:54 MSK 2024","1294","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowCvvErrorForCreditPurchase","Should show invalid CVC/CVV error for credit purchase",""
"passed","Wed Oct 02 14:51:20 MSK 2024","Wed Oct 02 14:51:22 MSK 2024","1448","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowExpiredYearErrorForDebitCardPurchase","Should show expired year error for debit card purchase",""
"failed","Wed Oct 02 14:52:46 MSK 2024","Wed Oct 02 14:53:12 MSK 2024","25287","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowUnsuccessfulDebitCardPurchase","Should show unsuccessful debit card purchase",""
"passed","Wed Oct 02 14:53:43 MSK 2024","Wed Oct 02 14:54:04 MSK 2024","21155","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowSuccessfulDebitCardPurchase","Should show successful debit card purchase",""
"passed","Wed Oct 02 14:51:54 MSK 2024","Wed Oct 02 14:51:55 MSK 2024","1216","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidMonthErrorForDebitCardPurchase","Should show invalid month error for debit card purchase",""
"failed","Wed Oct 02 14:52:17 MSK 2024","Wed Oct 02 14:52:23 MSK 2024","5406","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowInvalidHolderCyrillicErrorForDebitCardPurchase","Should show error for invalid holder name containing cyrillic symbols for debit card purchase",""
"passed","Wed Oct 02 14:51:58 MSK 2024","Wed Oct 02 14:51:58 MSK 2024","59","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldDisplayTourTitle","Tour title element should be visible",""
"passed","Wed Oct 02 14:53:24 MSK 2024","Wed Oct 02 14:53:25 MSK 2024","1135","","ru.netology.qa.qadiploma.tests.TourPageTest","","ru.netology.qa.qadiploma.tests.TourPageTest","shouldShowEmptyCvvErrorForDebitCardPurchase","Should show empty CVC/CVV error for debit card purchase",""
